country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in-country_partner,harvest_year,grading_date,owner,variety,status,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,defects,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,bean_type,mouthfeel,uniform_cup,bitter_and_sweet,salt_and_acid,fragrance_and_aroma
Taiwan,如璽有機咖啡莊園,"2024 Sustainable Specialty Coffee Farm Awards,S051",如璽有機咖啡莊園,,Taiwan Coffee Laboratory,1050,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","張永璽 CHANG,YUNG-HIS",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,8.25,8.17,8.08,8.0,7.83,7.92,10.0,10,10.0,8.0,0,86.25,0.102,0.0,0,Brown,1.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Vietnam,Công ty TNHH Minudo Farm - Care,A405,Công ty TNHH Minudo Farm - Care,,,1200,Đắk Lắk,Lê Đình Tư,2500,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Aeroco coffee,THA1,Completed,Natural / Dry,8.17,8.08,7.92,8.0,8.0,7.92,10.0,10,10.0,8.08,0,86.17,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Taiwan,野牡丹咖啡莊園 Melastoma Coffee Estate,C112,野牡丹咖啡莊園 Melastoma Coffee Estate,,Taiwan Coffee Laboratory,1250,"嘉義阿里山, Alishan, Chiayi","黃保錫 Huang, Bao-Si",1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-18,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.08,8.0,8.0,7.92,7.92,10.0,10,10.0,8.0,0,86.08,0.10099999999999999,0.0,0,Green,0.0,2026-09-18,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Guatemala,La Bolsa,2025 Guatemala COE Exotic Natural & Honey R10,La Bolsa,,Taiwan Coffee Laboratory,1550,"La Libertad, Huehuetenango, Guatemala",Maria Elena Vides,9,30.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Pacamara,Completed,Natural / Dry,8.0,8.0,7.92,7.92,8.0,8.08,10.0,10,10.0,8.17,0,86.08,0.109,0.0,0,Green,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Ethiopia,Idido,Idido,Idido,010/0402/0074,Taiwan Coffee Laboratory,1973,Yirgacheffe,Primrose,317,60.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-11-27,Taiwan Coffee Laboratory 台灣咖啡研究室,74110、74112、74165,Completed,Washed / Wet,8.17,8.08,7.92,7.92,8.0,8.0,10.0,10,10.0,8.0,0,86.08,0.10099999999999999,0.0,0,Bluish-Green,3.0,2025-11-27,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,泥妲咖啡Nita Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,泥妲咖啡Nita Coffee Manor,,Taiwan Coffee Laboratory,300,"Xiulin Township, Hualien County","戴豐秋DAI,FONG-CIOU",1,6.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,2025-09-12,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.83,8.08,8.0,8.17,7.92,8.0,10.0,10,10.0,8.08,0,86.08,0.105,0.0,0,Green,3.0,2026-09-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Indonesia,Muhammad Irwan,503,Yes,,Muhammad Irwan,1400,"Pengalengan, Jawa Barat",Muhammad Irwan,1,60.0,EKATA COFFEE CENTER,2024 / 2025,2025-10-13,shameel,Other,Completed,,8.25,8.0,8.08,8.0,7.83,8.0,10.0,10,10.0,7.92,0,86.08,0.11699999999999999,0.0,0,Pale Yellow,0.0,2026-10-13,EKATA COFFEE CENTER,"321/1, SIRAGUNDA VILLAGE, KASABA HOBLI, MUGTHIHALLI, CHIKKAMAGALURU, KARNATAKA, 577101",Shameel CP // Vivek Kolathai - +919995959888. - +919746845248,arabica,,,,,
Thailand,Phupha Estate,W08++,Mogojubean,,Phupha Estate,1430,Chiangmai,Kantima Tadplevthong,1,30.0,Specialty Coffee Institute of Thailand,2024 / 2025,2025-08-26,Kantima Tadplevthong,Mix typica bourbon catuai Caturra,Completed,Washed / Wet,8.17,8.0,7.83,8.0,8.0,7.92,10.0,10,10.0,8.08,0,86.0,0.121,0.0,0,Green,0.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Taiwan,櫻桃果古坑咖啡莊園 GuKeng Coffee Berries Manor,"2024 Sustainable Specialty Coffee Farm Awards,S007",櫻桃果古坑咖啡莊園 GuKeng Coffee Berries Manor,,Taiwan Coffee Laboratory,1000,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","王瀅惠 WANG,YING-HUI",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,8.08,7.92,8.0,7.92,8.0,10.0,10,10.0,8.0,0,85.92,0.10800000000000001,0.0,0,Green,1.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Panama,Bajo Mono,blend002,wet mill,29-73-0053,Kimbo S.P.A.,1400-1600,Bajo Mono,Stefan Arwed Müller,3,35.0,IMPERATOR SRL - Green Trading Company,2023,2024-11-20,alessandro marconicchio,"Geisha, Maragogipe, Pacamara, Bourbon Red, orange and Pink, SL28, Catuai, Yellow Catuai, Caturra.",Completed,intrinsic cherry,7.92,8.25,7.92,8.25,7.75,7.75,10.0,10,10.0,8.0,0,85.83,0.11699999999999999,0.0,0,yellowish,0.0,2025-11-20,IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115,arabica,,,,,
Colombia,La Paz,41.22,DRY,3/0659/00108,Kimbo S.P.A.,1600,"Oporapa, Hulia",Eduardo Rojas,3,35.0,IMPERATOR SRL - Green Trading Company,2023 / 2024,2024-11-20,alessandro marconicchio,Pink Bourbon,Completed,Natural / Dry,7.92,8.17,7.67,8.0,8.08,8.0,10.0,10,10.0,8.0,0,85.83,0.10300000000000001,0.0,0,Pale - yellow,0.0,2025-11-20,IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115,arabica,,,,,
Colombia,Villa Betulia,23-320,DRY,3/1869/00320,Kimbo S.P.A.,1600,Huila,Luis Anibal Calderon,3,35.0,IMPERATOR SRL - Green Trading Company,2023 / 2024,2024-11-20,alessandro marconicchio,Caturra,Completed,Natural / Dry,7.58,8.42,7.92,7.92,8.08,7.75,10.0,10,10.0,8.17,0,85.83,0.10400000000000001,0.0,0,Fermented orange,3.0,2025-11-20,IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115,arabica,,,,,
Taiwan,璟隆咖啡,C14,璟隆咖啡,,Taiwan Coffee Laboratory,1300,嘉義/番路鄉,蘇彥彰,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.0,8.0,7.92,8.0,7.92,8.0,10.0,10,10.0,8.0,0,85.83,0.105,0.0,0,yellow green,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Japan,cactus coffee farm & lab,1,cactus coffee farm & lab,,cactus coffee farm & lab,89,"Okinawa, Japan",Yayoi Nakasone,10,1.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,2025-09-26,Yayoi Nakasone,Mundo Novo,Completed,Natural / Dry,7.83,8.0,8.08,7.92,7.83,8.0,10.0,10,10.0,8.17,0,85.83,0.102,0.0,0,Green,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Kenya,KAMWANGI,KAMWANGI,KIRINYAGA UNION MILL,,Rockbern Coffee Group Ltd,1560,KIRINYAGA,NEW NGARIAMA COOP,64,60.0,Kenya Coffee Traders Association,2020 / 2021,2025-04-01,Rockbern Coffee Group Ltd,SL28,Completed,Washed / Wet,8.0,8.0,7.92,7.92,8.0,7.92,10.0,10,10.0,8.0,0,85.75,0.11800000000000001,0.0,0,Green,2.0,2026-04-01,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,arabica,,,,,
Vietnam,1500m Coffee,A222,1500m Coffee,,Rosa Garden Viet Nam,1500,"Xã Xuân Trường và Xã Xuân Thọ, Thành phố Đà Lạt, tỉnh Lâm Đồng",Nguyễn Thanh Sang,12000,1.0,HQJ Coffee School,2024 / 2025,2025-07-10,Nguyễn Hương Thi,Catimor,Completed,Washed / Wet,8.0,8.0,7.92,8.0,7.92,7.92,10.0,10,10.0,8.0,0,85.75,0.11,0.0,0,Green,0.0,2026-07-10,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Taiwan,嵩岳咖啡莊園 Songyue coffee manor,"2024 Sustainable Specialty Coffee Farm Awards,S114",嵩岳咖啡莊園 Songyue coffee manor,,Taiwan Coffee Laboratory,1200,"雲林縣古坑鄉 Gukeng Township, Yunlin County","郭亮志 KUO, LIANG-CHIH",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.08,7.92,7.83,7.83,7.92,10.0,10,10.0,8.08,0,85.75,0.1,0.0,0,Greenish,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Thailand,Sri coffee,2025G,Sri coffee,,Sri coffee,1200,Nan,Charoen Aunthin,1,8.0,SOCOF Lab,2024 / 2025,2025-10-02,Charoen Aunthin,Caturra,Completed,Natural / Dry,8.0,7.92,7.92,8.0,7.83,8.0,10.0,10,10.0,8.08,0,85.75,0.106,0.0,0,Yellow Green,2.0,2026-10-02,SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446,arabica,,,,,
Taiwan,樁萱巫師咖啡莊園 Zhuang Xuan Yoifo Coffee,"2024 Sustainable Specialty Coffee Farm Awards,S123",樁萱巫師咖啡莊園 Zhuang Xuan Yoifo Coffee,,Taiwan Coffee Laboratory,1200,"嘉義縣阿里山鄉Alishan Township, Chiayi County","莊家祺 CHUANG, CHIA-CHI",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.92,8.08,8.08,7.92,7.92,7.92,10.0,10,10.0,7.92,0,85.75,0.10400000000000001,0.0,0,Bluish-Green,1.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Thailand,Anurak coffee farm,Micro Lot -001 Khun ya washed process,Mogojubean,,Anurak coffee,1350,"Khun ya village, Chom Thong, Chiang mai.","Panupong Bunrueang , Surachet uttasahamongkol",1,8.0,Specialty Coffee Institute of Thailand,2020 / 2021,2025-08-26,Surachet Uttasahamongkol,Bourbon,Completed,Washed / Wet,8.0,7.75,7.92,8.0,7.92,7.92,10.0,10,10.0,8.17,0,85.67,0.107,0.0,0,Green,1.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Ethiopia,NERA coffee,5 GD005,NERA Coffee,,Nera Global L.L.C-FZ,2100-2300,Ethiopia,NERA Coffee,830,60.0,Torch Coffee Company,2024 / 2025,2025-07-07,Gireesh Singh Chowdhury,Ethiopian Heirlooms,Completed,Natural / Dry,8.08,8.08,8.08,7.92,7.67,7.92,10.0,10,10.0,7.92,0,85.67,0.091,0.0,0,Brownish,4.0,2026-07-07,Torch Coffee Company,云南省普洱市88龙生路公园1号108栋234室炬点咖啡实验室 T Torch Coffee Lab 88 Long Shen Building 105 Suite 234 Rd  Pu'er Yunnan China,Marty Pollack - +86 18287988435,arabica,,,,,
Taiwan,部舞咖啡,C12,部舞咖啡,,Taiwan Coffee Laboratory,1200,嘉義/番路鄉,溫春梅,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.25,8.08,7.92,8.0,7.75,7.83,10.0,10,10.0,7.83,0,85.67,0.102,0.0,0,greenish,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,大鋤花間咖啡生態農場(Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Venecia,Completed,Natural / Dry,7.92,8.0,8.0,7.92,7.83,7.92,10.0,10,10.0,8.08,0,85.67,0.091,0.0,0,YELLOW-GREEN,0.0,2026-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,愛姬咖啡莊園Aiji Coffee Estate,2025花蓮縣第九屆精品咖啡評鑑批次,愛姬咖啡莊園Aiji Coffee Estate,,Taiwan Coffee Laboratory,150,"Shoufeng Township, Hualien County","劉孟宗LIOU,MENG-ZONG",1,6.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,2025-09-12,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.92,8.0,7.92,8.0,7.83,7.92,10.0,10,10.0,8.0,0,85.58,0.11699999999999999,0.0,0,GREENISH,0.0,2026-09-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,琥珀社咖啡莊園 Amber Coffee Estate,"2024 Sustainable Specialty Coffee Farm Awards,S085",琥珀社咖啡莊園 Amber Coffee Estate,,Taiwan Coffee Laboratory,1020,"嘉義縣梅山鄉 Meishan Township, Chiayi County","陳合德 CHEN,HE-DE",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,8.0,8.0,7.92,8.0,7.83,7.83,10.0,10,10.0,8.0,0,85.58,0.10099999999999999,0.0,0,Pale Yellow,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,富咖有機農場,C108,富咖有機農場,,Taiwan Coffee Laboratory,1200,"嘉義梅山, Meishan, Chiayi",楊仙美,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-18,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Pulped natural / honey,8.08,8.08,7.92,7.92,7.83,7.83,10.0,10,10.0,7.92,0,85.58,0.11,0.0,0,Blue-Green,0.0,2026-09-18,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Thailand,Phupha Estate,H08+H15,Mogojubean,,Phupha Estate,1430,Chiangmai,Kantima Tadplevthong,1,30.0,Specialty Coffee Institute of Thailand,2024 / 2025,2025-08-26,Kantima Tadplevthong,mix arabica,Completed,Pulped natural / honey,8.0,7.92,8.0,7.92,7.92,8.0,10.0,10,10.0,7.83,0,85.58,0.11199999999999999,0.0,0,ํYellow-Green,0.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Thailand,Coffee De Hmong,2025012,Coffee De Hmong,,Coffee De Hmong,1500,Manipruek Nan,Napaporn Kamnoedmongkhon,1,8.0,SOCOF Lab,2024 / 2025,2025-10-02,Napaporn Kamnoedmongkhon,Catimor,Completed,Natural / Dry,8.08,8.17,7.92,7.92,7.83,7.58,10.0,10,10.0,8.0,0,85.5,0.10099999999999999,0.0,0,Brownish,0.0,2026-10-02,SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446,arabica,,,,,
Panama,don robert,blend003,wet mill facility,29-73-0054,Kimbo S.P.A.,1100-1500,boquet,Robert jemeison,3,35.0,IMPERATOR SRL - Green Trading Company,2023,2024-11-20,alessandro marconicchio,Catuai,Completed,Dynamic Cherry,8.0,8.08,7.83,8.08,7.75,7.58,10.0,10,10.0,8.17,0,85.5,0.11599999999999999,0.0,0,yellowish,3.0,2025-11-20,IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115,arabica,,,,,
Taiwan,大鋤花間咖啡生態農場(Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Purpurascens,Completed,Natural / Dry,7.92,8.0,7.75,8.0,7.92,7.92,10.0,10,10.0,7.92,0,85.42,0.095,0.0,0,YELLOW-GREEN,0.0,2026-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,晉揚欣金用心咖啡莊園 Jin Yun Gxin Coffee Manor,"2024 Sustainable Specialty Coffee Farm Awards,S028",晉揚欣金用心咖啡莊園 Jin Yun Gxin Coffee Manor,,Taiwan Coffee Laboratory,800-1200,"嘉義縣梅山鄉 Meishan Township, Chiayi County","洪欣延 HONG,SIN-YAN",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2023,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Pulped natural / honey,7.75,8.0,7.92,8.0,7.83,7.83,10.0,10,10.0,8.08,0,85.42,0.10400000000000001,0.0,0,Greenish,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,獵人書坊 Hunter Story Studio,"2024 Sustainable Specialty Coffee Farm Awards,S087",獵人書坊 Hunter Story Studio,,Taiwan Coffee Laboratory,1250,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","浦晨松 PU,CHEN-SONG",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.33,8.0,7.83,7.75,7.67,7.83,10.0,10,10.0,8.0,0,85.42,0.102,0.0,0,Yellow-Green,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Ethiopia,NERA Coffee,NERA-ETH001,NERA Coffee,,Nera Global L.L.C-FZ,2100-2300,Ethiopia,NERA Coffee,302,60.0,Torch Coffee Company,2024 / 2025,2025-07-07,Gireesh Singh Chowdhury,Ethiopian Heirlooms,Completed,Natural / Dry,7.92,8.0,7.92,7.75,7.92,8.0,10.0,10,10.0,7.92,0,85.42,0.091,0.0,0,Brownish,4.0,2026-07-07,Torch Coffee Company,云南省普洱市88龙生路公园1号108栋234室炬点咖啡实验室 T Torch Coffee Lab 88 Long Shen Building 105 Suite 234 Rd  Pu'er Yunnan China,Marty Pollack - +86 18287988435,arabica,,,,,
Taiwan,十萬咖啡	(Shin Wan café),2025臺南市國產精品咖啡評鑑批次,十萬咖啡	(Shin Wan café),,Taiwan Coffee Laboratory,700,"臺南市東山區 Dongshan Dist., Tainan City","陳天財（CHEN,TIAN-CAI）",1,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.08,8.0,7.92,7.83,7.83,7.83,10.0,10,10.0,7.92,0,85.42,0.09699999999999999,0.0,0,GREENISH,0.0,2026-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,一紫紅咖啡,C02,一紫紅咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,莊美雲,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,8.0,8.0,7.92,7.92,7.75,7.83,10.0,10,10.0,7.92,0,85.33,0.094,0.0,0,Green,0.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Costa Rica,"Cafetalera Tirra, S.A - Hacienda Candelaria",17,"Cafetalera Tirra, S.A",,"Cafetalera Tirra, S.A",1150,Palmares - Alajuela,"Cafetalera Tirra, S.A",1,1.0,Specialty Coffee Association of Costa Rica,2024 / 2025,2025-02-20,Laurence Aeberhard,Caturra,Completed,Washed / Wet,7.92,7.92,7.83,7.92,8.0,7.92,10.0,10,10.0,7.83,0,85.33,0.115,0.0,2,Blue-Green,1.0,2026-02-20,Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,arabica,,,,,
Vietnam,8Ro Company,A540,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Đinh Tiên Bảo San,Catimor,Completed,Pulped natural / honey,7.92,7.92,7.92,7.92,7.83,7.92,10.0,10,10.0,7.92,0,85.33,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Vietnam,Công ty TNHH MTV Rẫy Rừng,A894,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1600,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,300,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Thang Ho Hoang Minh,Typica,Completed,Natural / Dry,8.17,7.83,7.75,7.92,7.83,7.83,10.0,10,10.0,8.0,0,85.33,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Thailand,Akha Le,1,Akha Le,,PC89 Coffee,1400,Thailand,Phichit Bunyuenphanakun,2,1000.0,Specialty Coffee Institute of Thailand,2023 / 2024,2024-10-29,Phichit Bunyuenphanakun,Catimor,Completed,Washed / Wet,8.42,7.92,7.83,7.92,7.75,7.75,10.0,10,10.0,7.75,0,85.33,0.10300000000000001,0.0,0,,0.0,2025-10-29,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
